VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
Yellow Jacket Pueblo,5MT5,,Yellow Jacket Pueblo,5MT5,935,Yellow Jacket Pueblo,5MT5,,935,,CMV,,,Yes
Ewing Site,5MT927,,Ewing Site,5MT927,276,Ewing Site,5MT927,,276,,CMV,,,Yes
Lowry Ruin,5MT1566,,Lowry Ruin,LA627,298,Lowry Ruin,5MT1566,LA627,298,,CMV,,,Yes
HOLLY HOUSE,5MT602,,HOLLY HOUSE,A:9:9 (GP),413,Holly House,5MT602,,,Holly Ruins;Holly Group Ruins;A:9:9,CMV,,,Yes
,,,Colorado A:15:10,,566,,,,,,CMV,Yes,,Issue
,,,Fewkes Unit Pueblo,,567,Fewkes Unit Pueblo,5MV119,,,Gila Pueblo 149; Fewkes's Unit Pueblo,CMV,,,Yes
"FEWKES UNIT PUEBLO, SITE NUMBER 49",5MV149,,,,,,5MV149,,,Fewkes Unit Pueblo; Site Number 49; Fewkes's Unit Pueblo,CMV,,,Yes
FEWKES'S UNIT PUEBLO,5MV119,,,,,Fewkes Unit Pueblo,5MV119,,,Gila Pueblo 149; Fewkes's Unit Pueblo,CMV,,,Yes
Tsiping,,301,Tsiping,LA301,663,Tsiping,,LA301,663,,NRG,,,Yes
Howiri,,71,Howiri,LA71,666,Howiri,,LA71,666,,NRG,,,Yes
Te'ewi,,252,Te'ewi,LA252,668,Te'ewi,,LA252,668,,NRG,,,Yes
Poshu-ouinge,,274,Poshu,LA274,669,Poshu-ouinge,,LA274,669,Poshu; Poshu'ouinge,NRG,,,Yes
,,,Posi,LA632,670,Posi,,LA632,670,,NRG,,,Yes
Riana,,920,Riana Ruin,LA920,671,Riana Ruin,,LA920,671,Riana,NRG,,,Yes
Palisade,,3505,,LA3505,672,Palisade,,LA3505,672,,NRG,,,Yes
Sapawe,,306,Sapawe,LA306,673,Sapawe,,LA306,673,,NRG,,,Yes
Puye,,47,Puye,LA47,675,Puye,,LA47,675,,NRG,,,Yes
,,,Tshirege,LA170,676,Tshirege,,LA170,676,,NRG,,,Yes
Agua Fria Schoolhouse,,2,Agua Fria Schoolhouse Site,LA2,678,Agua Fria Schoolhouse Site,,LA2,678,,NRG,,,Yes
Arroyo Negro,,114,Arroyo Negro,LA114,681,Arroyo Negro,,LA114,681,,NRG,,,Yes
Pindi,,1,Pindi,LA1,684,Pindi,,LA1,684,,NRG,,,Yes
Los Aguayes,,5,Los Aguajes,LA5,685,Los Aguajes,,LA5,685,Los Aguayes,NRG,,,Yes
Water Canyon,,545,Water Canyon Ruin,LA545,686,Water Canyon Ruin,,LA545,686,,NRG,,,Yes
Pojoaque Grant Site,,835,Pojoaque Grant Site,LA835,687,Pojoaque Grant Site,,LA835,687; 1288,,NRG,,,Yes
,,,Pojoaque Grant Site,LA835,1288,Pojoaque Grant Site,,LA835,687; 1288,,NRG,,,Yes
Pojoaque,,61,,,,Pojoaque,,LA61,,,NRG,,,Yes
Tyuonyi,,82,Tyuonyi,LA82,693,Tyuonyi,,LA82,693,,NRG,,,Yes
Rainbow House,,217,Rainbow House,LA217,694,Rainbow House,,LA217,694,,NRG,,,Yes
Frijolito,,78,Frijolito Ruin,LA78,695,Frijolito Ruin,,LA78,695,,NRG,,,Yes
Otowi,,169,Otowi,LA169,696,Otowi,,LA169,696,,NRG,,,Yes
Pueblo del Encierro,,70,Pueblo del Encierro,LA70,697,Pueblo del Encierro,,LA70,697,,NRG,,,Yes
,,,Bandelier Big Kiva,LA77722,699,Bandelier Big Kiva,,LA77722,699,,NRG,,,Yes
,,,Ackmen Group Sites,5MT2108,130,Martin Site 1 - 1938,5MT2108,,,Ackmen-Lowry Site 1; Martin Site 1; Martin Site 1 - 1938; Martin I,CMV,,,Yes
,,,"Ackmen Group Site 3, 1937",,720,,,,,,CMV,Yes,No state site number.,Issue
,,,"Ackmen Group Site 1, 1938",5MT2108,721,Martin Site 1 - 1938,5MT2108,,,Ackmen-Lowry Site 1; Martin Site 1; Martin Site 1 - 1938; Martin I,CMV,,,Yes
Ackmen Site 1-1937,,,,,,,,,,,CMV,,,Issue
Ackmen Site 1-1938,5MT2108-1,,,,,,,,,,CMV,,,Issue
Ackmen Site 2-1937,,,,,,,5MT2108,,,,CMV,,,Issue
Ackmen Site 2-1938,5MT2108-2,,,,,,5MT2107,,,,CMV,,,Issue
Ackmen Site 3-1937,,,,,,,5MT2108,,,,CMV,,,Issue
Ackmen Site 4-1937,,,,,,,5MT2108,,,,CMV,,,Issue
Ackmen Site 1-1938,5MT2108-1,,,,,Martin Site 1 - 1938,5MT2108,,,Ackmen-Lowry Site 1; Martin Site 1; Martin Site 1 - 1938; Martin I,CMV,,,Issue
,5MT1238,,"Reed Site 4, Mancos Canyon",5MT1238,722,Mancos Canyon,5MT1238,,722,Reed 4,CMV,,,Yes
BURNT HOUSE,5MV1207,,Burnt House,5MT1207,723,Burnt House,5MT1207,,723,,CMV,,,Yes
,5MV1221,,Mesa Verde 1221,5MV1221,724,,5MV1221,,724,Mesa Verde 1221,CMV,,,Yes
,5MV1230,,Mesa Verde Site 1230,5MV1230,725,,5MV1230,,725,Mesa Verde Site 1230,CMV,,,Yes
DOG HOUSE,5MV1676,,"Dog House, Site 1676",5MV1676,726,Dog House,5MV1676,,726,Site 1676,CMV,,,Yes
,5MV1885,,Mesa Verde 1885,5MV1885,728,,5MV1885,,728,Mesa Verde 1885,CMV,,,Yes
Fortified House,5MT2158,,Fortified House,,735,Fortified House,5MT2158,,735; 1642,,CMV,,,Yes
,,,Fortified House,5MT2158,1642,Fortified House,5MT2158,,,,CMV,,,Yes
,,,,5MT2344,736,,5MT2344,,736,,CMV,,,Yes
,5MT2346,,,5MT2346,738,,5MT2346,,738,,CMV,,,Yes
Tree House; Morris No. 6,5MT2157,,Tree House,5MT2157,739,Tree House,5MT2157,,739,Morris 6,CMV,,,Yes
MORRIS #5,5MT2155,,Site 5 (Morris),5MT2155,740,,5MT2155,,740,Morris 5,CMV,,,Yes
EAGLE NEST HOUSE,5MT2154,,Eagle's Nest,5MT2154,741,Eagle's Nest,5MT2154,,741,,CMV,,,Yes
Hoy House,5MT2150,,Hoy House,5MT2150,742,Hoy House,5MT2150,,742,,CMV,,,Yes
,5MT2553,,,5MT2553,743,,5MT2553,,743,,CMV,,,Yes
,,,,5MT2351,744,,5MT2351,,744,,CMV,,,Yes
UTE CANYON SITE,5MT2347,,UTE CANYON SITE,5MT2347,745,Ute Canyon Site,5MT2347,,745,,CMV,,,Yes
Cellar Site,5MT4002,,Dolores Group Sites,5MT4002,746,Cellar Site,5MT4002,,746,Dolores Group Sites,CMV,,,Yes
Escalante Ruin,5MT2149,,Escalante Ruin,5MT2149,747,Escalante Ruin,5MT2149,,747,,CMV,,,Yes
,,,Mancos Canyon Great Kiva Site,5MT2350,748,Mancos Canyon Great Kiva Site,5MT2350,,748,,CMV,,,Yes
,5MT2559,,,5MT2559,749,,5MT2559,,749,,CMV,,,Yes
,5MT2741,,,5MT2741,750,,5MT2741,,750,,CMV,,,Yes
,,,Mancos Tower,,752,Mancos Tower,,,752,,CMV,,,Yes
,,,Ochos Metates Site Y-61,,753,Ochos Metates Site,,,753,Y-61,CMV,,,Yes
